,Unnamed: 0,City,Category.of.SKU,Sale,LiteracyRate,Population,AvgCPI,Area(km2)
31,32,Bhubaneshwar,Wellness,3510542.27659574,91.87,843402,144.5,135.0
32,33,Bhubaneshwar,Cookware,6911649.73191489,91.87,843402,144.5,135.0
33,34,Bhubaneshwar,Crockery,10964260.514893599,91.87,843402,144.5,135.0
34,35,Bhubaneshwar,Electronics,7074638.99574468,91.87,843402,144.5,135.0
35,36,Bhubaneshwar,Farm Fresh,1123880.3787234,91.87,843402,144.5,135.0
36,37,Bhubaneshwar,Fashion,199716680.595745,91.87,843402,144.5,135.0
37,38,Bhubaneshwar,Food Services,2635829.28510638,91.87,843402,144.5,135.0
38,39,Bhubaneshwar,Shoes,7740744.75744681,91.87,843402,144.5,135.0
39,40,Bhubaneshwar,Home Essentials,5655842.72340426,91.87,843402,144.5,135.0
40,41,Bhubaneshwar,Home Fashion,23160038.319148898,91.87,843402,144.5,135.0
41,42,Bhubaneshwar,Healthcare,96217517.319149,91.87,843402,144.5,135.0
42,43,Bhubaneshwar,Trolley Bags,20021579.034042604,91.87,843402,144.5,135.0
43,44,Bhubaneshwar,Plastics,21648148.897872303,91.87,843402,144.5,135.0
44,45,Bhubaneshwar,Processed Food,85817238.8170213,91.87,843402,144.5,135.0
45,46,Bhubaneshwar,Sports,1411944.28085106,91.87,843402,144.5,135.0
46,47,Bhubaneshwar,Staples,65223728.4808511,91.87,843402,144.5,135.0
47,48,Bhubaneshwar,Stationery,24066656.7106383,91.87,843402,144.5,135.0
48,49,Bhubaneshwar,Toys,8129330.16595744,91.87,843402,144.5,135.0
49,50,Bhubaneshwar,Utensils,14640275.5106383,91.87,843402,144.5,135.0
163,164,Durgapur,Wellness,3115627.47234043,86.02,566517,143.6,154.0
164,165,Durgapur,Cookware,2768200.43404255,86.02,566517,143.6,154.0
165,166,Durgapur,Crockery,3946609.08510638,86.02,566517,143.6,154.0
166,167,Durgapur,Electronics,10117506.289361699,86.02,566517,143.6,154.0
167,168,Durgapur,Farm Fresh,3740236.85106383,86.02,566517,143.6,154.0
168,169,Durgapur,Fashion,64111074.642553195,86.02,566517,143.6,154.0
169,170,Durgapur,Food Services,866470.8936170209,86.02,566517,143.6,154.0
170,171,Durgapur,Shoes,1624682.80425532,86.02,566517,143.6,154.0
171,172,Durgapur,Home Essentials,1808442.35744681,86.02,566517,143.6,154.0
172,173,Durgapur,Home Fashion,6847381.689361701,86.02,566517,143.6,154.0
173,174,Durgapur,Healthcare,38556173.6765957,86.02,566517,143.6,154.0
174,175,Durgapur,Trolley Bags,6249985.55744681,86.02,566517,143.6,154.0
175,176,Durgapur,Plastics,6623535.66808511,86.02,566517,143.6,154.0
176,177,Durgapur,Processed Food,33842807.297872305,86.02,566517,143.6,154.0
177,178,Durgapur,Sports,719003.863829787,86.02,566517,143.6,154.0
178,179,Durgapur,Staples,31169506.2170213,86.02,566517,143.6,154.0
179,180,Durgapur,Stationery,16526110.5914894,86.02,566517,143.6,154.0
180,181,Durgapur,Toys,2886990.18297872,86.02,566517,143.6,154.0
181,182,Durgapur,Utensils,5712874.40851064,86.02,566517,143.6,154.0
182,183,Gangtok,Wellness,38671.0255319149,89.33,100286,141.2,35.0
183,184,Gangtok,Cookware,1496875.09361702,89.33,100286,141.2,35.0
184,185,Gangtok,Crockery,1654521.39148936,89.33,100286,141.2,35.0
185,186,Gangtok,Electronics,3351476.32765957,89.33,100286,141.2,35.0
186,187,Gangtok,Farm Fresh,176237.34893617,89.33,100286,141.2,35.0
187,188,Gangtok,Fashion,26225308.0085106,89.33,100286,141.2,35.0
188,189,Gangtok,Food Services,414048.01276595704,89.33,100286,141.2,35.0
189,190,Gangtok,Shoes,1047641.28510638,89.33,100286,141.2,35.0
190,191,Gangtok,Home Essentials,14730.1276595745,89.33,100286,141.2,35.0
191,192,Gangtok,Home Fashion,3713951.46382979,89.33,100286,141.2,35.0
192,193,Gangtok,Healthcare,11576219.2425532,89.33,100286,141.2,35.0
193,194,Gangtok,Trolley Bags,1726479.42553191,89.33,100286,141.2,35.0
194,195,Gangtok,Plastics,4618887.21702128,89.33,100286,141.2,35.0
195,196,Gangtok,Processed Food,12424446.1276596,89.33,100286,141.2,35.0
196,197,Gangtok,Sports,361768.65531914897,89.33,100286,141.2,35.0
197,198,Gangtok,Staples,14366667.7489362,89.33,100286,141.2,35.0
198,199,Gangtok,Stationery,1690020.13617021,89.33,100286,141.2,35.0
199,200,Gangtok,Toys,1867244.51914894,89.33,100286,141.2,35.0
200,201,Gangtok,Utensils,2843098.52340425,89.33,100286,141.2,35.0
201,202,Guwahati,Wellness,3304291.48510638,91.47,957352,142.6,215.0
202,203,Guwahati,Cookware,7807870.98723404,91.47,957352,142.6,215.0
203,204,Guwahati,Crockery,13446955.3659574,91.47,957352,142.6,215.0
204,205,Guwahati,Electronics,59370.829787234004,91.47,957352,142.6,215.0
205,206,Guwahati,Farm Fresh,3162177.86382979,91.47,957352,142.6,215.0
206,207,Guwahati,Fashion,208940461.502128,91.47,957352,142.6,215.0
207,208,Guwahati,Food Services,7424836.39148936,91.47,957352,142.6,215.0
208,209,Guwahati,Shoes,7367212.74468085,91.47,957352,142.6,215.0
209,210,Guwahati,Home Essentials,4499185.45957447,91.47,957352,142.6,215.0
210,211,Guwahati,Home Fashion,20318968.3276596,91.47,957352,142.6,215.0
211,212,Guwahati,Healthcare,75925665.54468091,91.47,957352,142.6,215.0
212,213,Guwahati,Trolley Bags,14246331.6893617,91.47,957352,142.6,215.0
213,214,Guwahati,Plastics,23248876.6127659,91.47,957352,142.6,215.0
214,215,Guwahati,Processed Food,64643191.106382996,91.47,957352,142.6,215.0
215,216,Guwahati,Sports,1450439.7106383,91.47,957352,142.6,215.0
216,217,Guwahati,Staples,59868878.8765958,91.47,957352,142.6,215.0
217,218,Guwahati,Stationery,10372216.4425532,91.47,957352,142.6,215.0
218,219,Guwahati,Toys,8145155.56595745,91.47,957352,142.6,215.0
219,220,Guwahati,Utensils,15813558.982978698,91.47,957352,142.6,215.0
277,278,Kolkata,Wellness,47474466.4393617,86.31,4496694,143.6,185.0
278,279,Kolkata,Cookware,61006916.4878724,86.31,4496694,143.6,185.0
279,280,Kolkata,Crockery,83942349.2799999,86.31,4496694,143.6,185.0
280,281,Kolkata,Electronics,135168694.49616998,86.31,4496694,143.6,185.0
281,282,Kolkata,Farm Fresh,45414601.05,86.31,4496694,143.6,185.0
282,283,Kolkata,Fashion,2000588008.24043,86.31,4496694,143.6,185.0
283,284,Kolkata,Food Services,42565294.3376596,86.31,4496694,143.6,185.0
284,285,Kolkata,Shoes,39653509.997234,86.31,4496694,143.6,185.0
285,286,Kolkata,Home Essentials,13139154.879361698,86.31,4496694,143.6,185.0
286,287,Kolkata,Home Fashion,154149426.681915,86.31,4496694,143.6,185.0
287,288,Kolkata,Healthcare,859816642.36383,86.31,4496694,143.6,185.0
288,289,Kolkata,Trolley Bags,123524541.645745,86.31,4496694,143.6,185.0
289,290,Kolkata,Plastics,148309704.764681,86.31,4496694,143.6,185.0
290,291,Kolkata,Processed Food,958744968.0429779,86.31,4496694,143.6,185.0
291,292,Kolkata,Sports,9617598.97106383,86.31,4496694,143.6,185.0
292,293,Kolkata,Staples,702099029.160212,86.31,4496694,143.6,185.0
293,294,Kolkata,Stationery,125357324.688085,86.31,4496694,143.6,185.0
294,295,Kolkata,Toys,58271187.67021279,86.31,4496694,143.6,185.0
295,296,Kolkata,Utensils,121953860.55446799,86.31,4496694,143.6,185.0
296,297,Nagpur,Wellness,6972922.79,91.92,2405665,138.5,217.6
297,298,Nagpur,Cookware,20557121.79,91.92,2405665,138.5,217.6
298,299,Nagpur,Crockery,22719115.27,91.92,2405665,138.5,217.6
299,300,Nagpur,Electronics,22404343.47,91.92,2405665,138.5,217.6
300,301,Nagpur,Farm Fresh,9252046.89999999,91.92,2405665,138.5,217.6
301,302,Nagpur,Fashion,420143072.36,91.92,2405665,138.5,217.6
302,303,Nagpur,Food Services,22378396.95,91.92,2405665,138.5,217.6
303,304,Nagpur,Shoes,20026664.14,91.92,2405665,138.5,217.6
304,305,Nagpur,Home Essentials,4414673.0,91.92,2405665,138.5,217.6
305,306,Nagpur,Home Fashion,43768068.84,91.92,2405665,138.5,217.6
306,307,Nagpur,Healthcare,274078851.26,91.92,2405665,138.5,217.6
307,308,Nagpur,Trolley Bags,43601559.47,91.92,2405665,138.5,217.6
308,309,Nagpur,Plastics,50676361.82,91.92,2405665,138.5,217.6
309,310,Nagpur,Processed Food,192819255.86,91.92,2405665,138.5,217.6
310,311,Nagpur,Sports,4372657.37,91.92,2405665,138.5,217.6
311,312,Nagpur,Staples,220452245.06,91.92,2405665,138.5,217.6
312,313,Nagpur,Stationery,60878118.5900001,91.92,2405665,138.5,217.6
313,314,Nagpur,Toys,19409442.4,91.92,2405665,138.5,217.6
314,315,Nagpur,Utensils,31360220.83,91.92,2405665,138.5,217.6
315,316,Patna,Wellness,10479370.75,83.37,1684222,144.0,297.9
316,317,Patna,Cookware,17121861.25,83.37,1684222,144.0,297.9
317,318,Patna,Crockery,27479224.55,83.37,1684222,144.0,297.9
318,319,Patna,Electronics,41502433.9,83.37,1684222,144.0,297.9
319,320,Patna,Farm Fresh,7849915.56,83.37,1684222,144.0,297.9
320,321,Patna,Fashion,432310550.39,83.37,1684222,144.0,297.9
321,322,Patna,Food Services,9683903.87,83.37,1684222,144.0,297.9
322,323,Patna,Shoes,14913642.85,83.37,1684222,144.0,297.9
323,324,Patna,Home Essentials,48692.8,83.37,1684222,144.0,297.9
324,325,Patna,Home Fashion,53580834.25,83.37,1684222,144.0,297.9
325,326,Patna,Healthcare,234300936.21,83.37,1684222,144.0,297.9
326,327,Patna,Trolley Bags,40043357.93,83.37,1684222,144.0,297.9
327,328,Patna,Plastics,49441503.82,83.37,1684222,144.0,297.9
328,329,Patna,Processed Food,189814253.63,83.37,1684222,144.0,297.9
329,330,Patna,Sports,4249439.27,83.37,1684222,144.0,297.9
330,331,Patna,Staples,179825132.26,83.37,1684222,144.0,297.9
331,332,Patna,Stationery,18595491.3,83.37,1684222,144.0,297.9
332,333,Patna,Toys,19304017.04,83.37,1684222,144.0,297.9
333,334,Patna,Utensils,29445378.11,83.37,1684222,144.0,297.9
334,335,Raipur,Wellness,1453934.27,85.95,1010433,141.6,226.0
335,336,Raipur,Cookware,4304977.6,85.95,1010433,141.6,226.0
336,337,Raipur,Crockery,5230821.74,85.95,1010433,141.6,226.0
337,338,Raipur,Electronics,4133098.89,85.95,1010433,141.6,226.0
338,339,Raipur,Farm Fresh,1964198.13,85.95,1010433,141.6,226.0
339,340,Raipur,Fashion,127443301.99,85.95,1010433,141.6,226.0
340,341,Raipur,Food Services,6896740.1,85.95,1010433,141.6,226.0
341,342,Raipur,Shoes,8016501.4,85.95,1010433,141.6,226.0
342,343,Raipur,Home Essentials,748274.83,85.95,1010433,141.6,226.0
343,344,Raipur,Home Fashion,13826243.45,85.95,1010433,141.6,226.0
344,345,Raipur,Healthcare,65966056.83,85.95,1010433,141.6,226.0
345,346,Raipur,Trolley Bags,14506344.3,85.95,1010433,141.6,226.0
346,347,Raipur,Plastics,12540858.15,85.95,1010433,141.6,226.0
347,348,Raipur,Processed Food,46926646.66,85.95,1010433,141.6,226.0
348,349,Raipur,Sports,1137986.86,85.95,1010433,141.6,226.0
349,350,Raipur,Staples,35942257.84,85.95,1010433,141.6,226.0
350,351,Raipur,Stationery,12777238.46,85.95,1010433,141.6,226.0
351,352,Raipur,Toys,4729141.81,85.95,1010433,141.6,226.0
352,353,Raipur,Utensils,7839137.56,85.95,1010433,141.6,226.0
353,354,Ranchi,Wellness,3777661.51,87.37,1073427,142.2,175.0
354,355,Ranchi,Cookware,9340577.99,87.37,1073427,142.2,175.0
355,356,Ranchi,Crockery,16479915.03,87.37,1073427,142.2,175.0
356,357,Ranchi,Electronics,-62221.22,87.37,1073427,142.2,175.0
357,358,Ranchi,Farm Fresh,5342120.97,87.37,1073427,142.2,175.0
358,359,Ranchi,Fashion,248896490.76,87.37,1073427,142.2,175.0
359,360,Ranchi,Food Services,4477297.34,87.37,1073427,142.2,175.0
360,361,Ranchi,Shoes,7605499.17,87.37,1073427,142.2,175.0
361,362,Ranchi,Home Essentials,1282931.41,87.37,1073427,142.2,175.0
362,363,Ranchi,Home Fashion,24632360.85,87.37,1073427,142.2,175.0
363,364,Ranchi,Healthcare,111957733.19,87.37,1073427,142.2,175.0
364,365,Ranchi,Trolley Bags,29676426.4,87.37,1073427,142.2,175.0
365,366,Ranchi,Plastics,28212395.83,87.37,1073427,142.2,175.0
366,367,Ranchi,Processed Food,92150236.74,87.37,1073427,142.2,175.0
367,368,Ranchi,Sports,1954416.23,87.37,1073427,142.2,175.0
368,369,Ranchi,Staples,82653813.79,87.37,1073427,142.2,175.0
369,370,Ranchi,Stationery,28672099.17,87.37,1073427,142.2,175.0
370,371,Ranchi,Toys,9494025.13,87.37,1073427,142.2,175.0
371,372,Ranchi,Utensils,16489588.07,87.37,1073427,142.2,175.0
410,411,Siliguri,Wellness,3573647.0,85.91,513264,143.6,260.0
411,412,Siliguri,Cookware,6072856.86,85.91,513264,143.6,260.0
412,413,Siliguri,Crockery,9270922.98,85.91,513264,143.6,260.0
413,414,Siliguri,Electronics,18821931.61,85.91,513264,143.6,260.0
414,415,Siliguri,Farm Fresh,5275370.95,85.91,513264,143.6,260.0
415,416,Siliguri,Fashion,259159977.51,85.91,513264,143.6,260.0
416,417,Siliguri,Food Services,3200241.5,85.91,513264,143.6,260.0
417,418,Siliguri,Shoes,6291964.43,85.91,513264,143.6,260.0
418,419,Siliguri,Home Essentials,3697610.42,85.91,513264,143.6,260.0
419,420,Siliguri,Home Fashion,21973934.69,85.91,513264,143.6,260.0
420,421,Siliguri,Healthcare,70152592.81,85.91,513264,143.6,260.0
421,422,Siliguri,Trolley Bags,12405945.87,85.91,513264,143.6,260.0
422,423,Siliguri,Plastics,19503745.67,85.91,513264,143.6,260.0
423,424,Siliguri,Processed Food,65897928.21,85.91,513264,143.6,260.0
424,425,Siliguri,Sports,2145427.49,85.91,513264,143.6,260.0
425,426,Siliguri,Staples,43783373.25,85.91,513264,143.6,260.0
426,427,Siliguri,Stationery,32605517.82,85.91,513264,143.6,260.0
427,428,Siliguri,Toys,10736591.23,85.91,513264,143.6,260.0
428,429,Siliguri,Utensils,11181601.22,85.91,513264,143.6,260.0
